1,3.5336,1.8798,3.9893,17.403,12.487,9.2578,1.3711,2.1222,44.123,2.5061,85.707,4.9824,24.538,9.1073,8.8558,1.41,1.9881,1.4338,1.458,1.0169,1.034,8.7147e+05,8.5701e+05,1,1.0712,299.81,1.035,89889,321.16,1.41,870.04,289.42,-0.015079
1,4.2103,2.0519,4.7533,20.735,17.727,10.105,1.4324,2.3165,74.634,2.5061,102.12,7.0733,34.835,12.375,10.552,1.68,2.8224,1.7083,1.7372,1.0169,1.034,1.0383e+06,1.0211e+06,1,1.0712,306.89,1.035,94183,328.74,1.68,862.61,293.21,-0.027651
1,4.9872,2.2332,5.6303,24.561,24.872,10.998,1.4944,2.5212,124.04,2.5061,120.96,9.9245,48.877,16.644,12.499,1.99,3.9601,2.0236,2.0577,1.0169,1.034,1.2299e+06,1.2095e+06,1,1.0712,287.64,1.035,82739,308.12,1.99,951.7,284.68,-0.029212
1,5.9395,2.4371,6.7055,29.252,35.278,12.003,1.5611,2.7514,209.53,2.5061,144.06,14.077,69.326,22.598,14.885,2.37,5.6169,2.41,2.4506,1.0169,1.034,1.4648e+06,1.4405e+06,1,1.0712,277.17,1.035,76822,296.9,2.37,824.21,278.64,-0.019598
1,7.1174,2.6678,8.0353,35.053,50.658,13.139,1.6334,3.0119,360.55,2.5061,172.63,20.213,99.549,31.014,17.837,2.84,8.0656,2.8879,2.9366,1.0169,1.034,1.7553e+06,1.7262e+06,1,1.0712,275.45,1.035,75873,295.06,2.84,908.8,273.76,-0.0082697
1,8.6963,2.9489,9.8177,42.828,75.625,14.523,1.7172,3.3292,657.66,2.5061,210.92,30.176,148.61,44.039,21.794,3.47,12.041,3.5285,3.5881,1.0169,1.034,2.1447e+06,2.1091e+06,1,1.0712,263.01,1.035,69175,281.74,3.47,782.11,261.2,-0.0014084
1,10.776,3.2827,12.166,53.072,116.13,16.167,1.8118,3.7061,1251.5,2.5061,261.38,46.338,228.21,64.095,27.007,4.3,18.49,4.3725,4.4463,1.0169,1.034,2.6577e+06,2.6136e+06,1,1.0712,281.19,1.035,79067,301.21,4.3,893.92,270.68,0.0010278
1,13.583,3.6855,15.335,66.896,184.5,18.151,1.9198,4.1608,2506.2,2.5061,329.46,73.621,362.58,96.107,34.041,5.42,29.376,5.5114,5.6044,1.0169,1.034,3.3499e+06,3.2943e+06,1,1.0712,270.56,1.035,73201,289.82,5.42,758.33,261.49,0.0018885
1,17.393,4.1704,19.635,85.656,302.5,20.539,2.0422,4.7083,5261.3,2.5061,421.85,120.7,594.46,148.13,43.588,6.94,48.164,7.0571,7.1761,1.0169,1.034,4.2894e+06,4.2182e+06,1,1.0712,276.84,1.035,76639,296.55,6.94,910.73,267.76,0.0026006
1,22.605,4.7545,25.52,111.33,511,23.415,2.1805,5.3676,11551,2.5061,548.28,203.9,1004.2,234.35,56.652,9.02,81.36,9.1722,9.3269,1.0169,1.034,5.5749e+06,5.4825e+06,1,1.0712,268.57,1.035,72128,287.69,9.02,898.98,256.19,0.0033855
