! AIRS solar data file for AIRS SRF 08 Apr 2008 m130x
!     Tef = 155.770 K, yoffset = -13.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
  221   712.7359   18.6572
  222   713.0258   18.6727
  223   713.3159   18.6883
  224   713.6063   18.7040
  225   713.8969   18.7197
  226   714.1877   18.7352
  227   714.4788   18.7509
  228   714.7701   18.7666
  229   715.0617   18.7823
  230   715.3535   18.7979
  231   715.6455   18.8135
  232   715.9378   18.8293
  233   716.2304   18.8449
  234   716.5231   18.8605
  235   716.8161   18.8762
  236   717.1094   18.8920
  237   717.4029   18.9077
  238   717.6966   18.9233
  239   717.9906   18.9390
  240   718.2849   18.9547
  241   718.5794   18.9705
  242   718.8741   18.9861
  243   719.1690   19.0018
  244   719.4643   19.0176
  245   719.7597   19.0334
  246   720.0554   19.0490
  247   720.3514   19.0647
  248   720.6476   19.0806
  249   720.9440   19.0964
  250   721.2407   19.1120
  251   721.5377   19.1278
  252   721.8349   19.1438
  253   722.1323   19.1595
  254   722.4300   19.1750
  255   722.7279   19.1909
  256   723.0261   19.2070
  257   723.3245   19.2227
  258   723.6232   19.2382
  259   723.9222   19.2542
  260   724.2213   19.2704
  261   724.5208   19.2859
  262   724.8204   19.3014
  263   725.1204   19.3177
  264   725.4205   19.3339
  265   725.7210   19.3493
  266   726.0217   19.3650
  267   726.3226   19.3814
  268   726.6238   19.3974
  269   726.9252   19.4128
  270   727.2269   19.4288
  271   727.5289   19.4453
  272   727.8310   19.4611
  273   728.1335   19.4765
  274   728.4362   19.4927
  275   728.0520   19.4725
  276   728.3544   19.4885
  277   728.6570   19.5046
  278   728.9598   19.5205
  279   729.2630   19.5364
  280   729.5663   19.5524
  281   729.8700   19.5686
  282   730.1738   19.5845
  283   730.4780   19.6004
  284   730.7823   19.6165
  285   731.0870   19.6326
  286   731.3918   19.6487
  287   731.6970   19.6646
  288   732.0024   19.6807
  289   732.3080   19.6969
  290   732.6139   19.7131
  291   732.9200   19.7290
  292   733.2264   19.7451
  293   733.5331   19.7613
  294   733.8400   19.7775
  295   734.1471   19.7935
  296   734.4546   19.8097
  297   734.7622   19.8261
  298   735.0702   19.8423
  299   735.3783   19.8582
  300   735.6868   19.8745
  301   735.9955   19.8909
  302   736.3044   19.9071
  303   736.6136   19.9232
  304   736.9231   19.9395
  305   737.2328   19.9560
  306   737.5428   19.9722
  307   737.8531   19.9884
  308   738.1636   20.0048
  309   738.4743   20.0213
  310   738.7853   20.0376
  311   739.0966   20.0538
  312   739.4081   20.0703
  313   739.7199   20.0868
  314   740.0320   20.1032
  315   740.3443   20.1194
  316   740.6569   20.1360
  317   740.9697   20.1526
  318   741.2828   20.1691
  319   741.5962   20.1854
  320   741.9098   20.2020
  321   742.2237   20.2187
  322   742.5378   20.2351
  323   742.8522   20.2516
  324   743.1669   20.2682
  325   743.4818   20.2850
  326   743.7970   20.3015
  327   744.1125   20.3180
  328   744.4282   20.3348
  329   744.7442   20.3516
  330   745.0604   20.3681
  331   745.3769   20.3848
  332   745.6937   20.4017
  333   746.0108   20.4185
  334   746.3281   20.4351
  335   746.6457   20.4519
  336   746.9635   20.4689
  337   747.2816   20.4856
  338   747.6000   20.5023
  339   747.9186   20.5193
  340   748.2376   20.5363
  341   748.5567   20.5531
  342   748.8762   20.5699
  343   749.1959   20.5871
  344   749.5159   20.6040
  345   749.8361   20.6209
  346   750.1567   20.6379
  347   750.4775   20.6551
  348   750.7985   20.6721
  349   751.1199   20.6890
  350   751.4414   20.7062
  351   751.7633   20.7235
  352   752.0855   20.7405
  353   752.4079   20.7576
  354   752.7306   20.7750
  355   753.0535   20.7922
  356   753.3768   20.8094
  357   753.7003   20.8266
  358   754.0240   20.8440
  359   754.3481   20.8613
  360   754.6724   20.8785
  361   754.9970   20.8959
  362   755.3219   20.9134
  363   755.6470   20.9308
  364   755.9724   20.9481
  365   756.2981   20.9656
  366   756.6241   20.9833
  367   756.9503   21.0006
  368   757.2768   21.0181
  369   757.6036   21.0358
  370   757.9307   21.0534
  371   758.2581   21.0709
  372   758.5857   21.0886
  373   758.9136   21.1064
  374   759.2417   21.1239
  375   759.5702   21.1416
  376   759.8989   21.1596
  377   760.2279   21.1773
  378   760.5572   21.1951
  379   760.8868   21.2129
  380   761.2167   21.2308
  381   761.5468   21.2487
  382   761.8772   21.2666
  383   762.2079   21.2846
  384   762.5389   21.3026
  385   762.8701   21.3205
  386   763.2016   21.3386
  387   763.5334   21.3566
  388   763.8655   21.3748
  389   764.1979   21.3930
  390   764.5306   21.4111
  391   764.8635   21.4293
  392   765.1967   21.4476
  393   765.5303   21.4658
  394   765.8640   21.4840
  395   766.1981   21.5025
  396   766.5325   21.5208
  397   766.8671   21.5391
  398   767.2020   21.5576
  399   767.5373   21.5761
  400   767.8728   21.5946
  401   768.2085   21.6130
  402   768.5446   21.6317
  403   768.8810   21.6503
  404   769.2176   21.6688
  405   769.5546   21.6876
  406   769.8918   21.7064
  407   770.2293   21.7249
  408   770.5671   21.7436
  409   770.9052   21.7628
  410   771.2435   21.7815
  411   771.5822   21.8000
  412   771.9212   21.8192
  413   772.2604   21.8384
  414   772.5999   21.8569
  415   772.9397   21.8759
  416   773.2799   21.8954
  417   773.6203   21.9145
  418   773.9610   21.9331
  419   774.3019   21.9523
  420   774.6432   21.9720
  421   774.9848   21.9910
  422   775.3266   22.0099
  423   775.6688   22.0296
  424   776.0112   22.0491
  425   776.3540   22.0679
  426   776.6970   22.0874
  427   777.0403   22.1074
  428   777.3840   22.1263
  429   777.7279   22.1457
  430   778.0721   22.1656
  431   778.4166   22.1853
  432   778.7614   22.2044
  433   779.1065   22.2241
  434   779.4519   22.2442
  435   779.7976   22.2636
  436   780.1436   22.2831
  437   780.4899   22.3033
  438   780.8365   22.3233
  439   781.1834   22.3426
  440   781.5306   22.3625
  441   781.8780   22.3828
  442   789.2592   22.8093
  443   789.6129   22.8299
  444   789.9670   22.8505
  445   790.3213   22.8713
  446   790.6760   22.8920
  447   791.0310   22.9126
  448   791.3863   22.9335
  449   791.7418   22.9543
  450   792.0977   22.9751
  451   792.4539   22.9961
  452   792.8104   23.0171
  453   793.1672   23.0379
  454   793.5243   23.0590
  455   793.8818   23.0801
  456   794.2395   23.1010
  457   794.5975   23.1220
  458   794.9559   23.1434
  459   795.3146   23.1644
  460   795.6735   23.1856
  461   796.0328   23.2068
  462   796.3924   23.2280
  463   796.7523   23.2494
  464   797.1125   23.2705
  465   797.4730   23.2921
  466   797.8339   23.3135
  467   798.1950   23.3347
  468   798.5565   23.3561
  469   798.9182   23.3779
  470   799.2803   23.3992
  471   799.6427   23.4206
  472   800.0054   23.4424
  473   800.3685   23.4640
  474   800.7318   23.4854
  475   801.0955   23.5073
  476   801.4595   23.5291
  477   801.8237   23.5505
  478   802.1884   23.5723
  479   802.5533   23.5944
  480   802.9185   23.6160
  481   803.2841   23.6377
  482   803.6499   23.6601
  483   804.0161   23.6819
  484   804.3827   23.7034
  485   804.7495   23.7257
  486   805.1166   23.7480
  487   805.4841   23.7696
  488   805.8519   23.7915
  489   806.2200   23.8142
  490   806.5884   23.8362
  491   806.9572   23.8579
  492   807.3263   23.8806
  493   807.6956   23.9030
  494   808.0654   23.9247
  495   808.4354   23.9472
  496   808.8058   23.9699
  497   809.1764   23.9917
  498   809.5474   24.0141
  499   809.9188   24.0371
  500   810.2904   24.0592
