! AIRS solar data file for AIRS SRF 31 Mar 2008 m150
!     Tef = 156.339 K, yoffset = -15.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
    1   649.6268   15.5014
    2   649.8652   15.5114
    3   650.1038   15.5215
    4   650.3426   15.5313
    5   650.5816   15.5409
    6   650.8208   15.5508
    7   651.0602   15.5610
    8   651.2998   15.5712
    9   651.5395   15.5810
   10   651.7795   15.5907
   11   652.0196   15.6008
   12   652.2599   15.6112
   13   652.5004   15.6214
   14   652.7411   15.6312
   15   652.9820   15.6411
   16   653.2231   15.6515
   17   653.4644   15.6620
   18   653.7059   15.6722
   19   653.9475   15.6821
   20   654.1893   15.6922
   21   654.4314   15.7028
   22   654.6736   15.7133
   23   654.9160   15.7236
   24   655.1586   15.7336
   25   655.4014   15.7440
   26   655.6444   15.7547
   27   655.8876   15.7653
   28   656.1310   15.7756
   29   656.3745   15.7859
   30   656.6183   15.7965
   31   656.8623   15.8073
   32   657.1064   15.8179
   33   657.3507   15.8283
   34   657.5953   15.8389
   35   657.8400   15.8497
   36   658.0849   15.8606
   37   658.3300   15.8712
   38   658.5753   15.8818
   39   658.8208   15.8926
   40   659.0665   15.9036
   41   659.3124   15.9145
   42   659.5585   15.9252
   43   659.8048   15.9360
   44   660.0513   15.9471
   45   660.2979   15.9581
   46   660.5448   15.9691
   47   660.7919   15.9800
   48   661.0391   15.9911
   49   661.2866   16.0023
   50   661.5342   16.0134
   51   661.7821   16.0245
   52   662.0301   16.0356
   53   662.2784   16.0469
   54   662.5268   16.0582
   55   662.7755   16.0694
   56   663.0243   16.0806
   57   663.2733   16.0920
   58   663.5226   16.1034
   59   663.7720   16.1149
   60   664.0216   16.1262
   61   664.2714   16.1377
   62   664.5215   16.1492
   63   664.7717   16.1608
   64   665.0221   16.1723
   65   665.2727   16.1839
   66   665.5236   16.1955
   67   665.7746   16.2072
