! AIRS solar data file for AIRS SRF 31 Mar 2008 m140
!     Tef = 156.339 K, yoffset = -14.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
  221   712.7417   18.6575
  222   713.0316   18.6730
  223   713.3217   18.6886
  224   713.6121   18.7043
  225   713.9027   18.7200
  226   714.1935   18.7355
  227   714.4846   18.7512
  228   714.7759   18.7669
  229   715.0675   18.7826
  230   715.3593   18.7982
  231   715.6514   18.8139
  232   715.9437   18.8296
  233   716.2362   18.8452
  234   716.5290   18.8608
  235   716.8220   18.8765
  236   717.1153   18.8923
  237   717.4088   18.9080
  238   717.7025   18.9236
  239   717.9965   18.9393
  240   718.2908   18.9551
  241   718.5852   18.9708
  242   718.8800   18.9864
  243   719.1750   19.0021
  244   719.4702   19.0180
  245   719.7656   19.0337
  246   720.0614   19.0493
  247   720.3573   19.0651
  248   720.6535   19.0810
  249   720.9500   19.0967
  250   721.2467   19.1123
  251   721.5436   19.1281
  252   721.8408   19.1441
  253   722.1383   19.1598
  254   722.4360   19.1753
  255   722.7339   19.1912
  256   723.0321   19.2074
  257   723.3305   19.2229
  258   723.6292   19.2385
  259   723.9281   19.2546
  260   724.2273   19.2707
  261   724.5267   19.2862
  262   724.8264   19.3018
  263   725.1264   19.3181
  264   725.4265   19.3342
  265   725.7270   19.3495
  266   726.0277   19.3654
  267   726.3286   19.3818
  268   726.6298   19.3976
  269   726.9312   19.4131
  270   727.2329   19.4292
  271   727.5349   19.4457
  272   727.8371   19.4613
  273   728.1395   19.4768
  274   728.4423   19.4931
  275   728.0580   19.4729
  276   728.3604   19.4888
  277   728.6630   19.5049
  278   728.9659   19.5208
  279   729.2690   19.5367
  280   729.5724   19.5528
  281   729.8760   19.5689
  282   730.1799   19.5848
  283   730.4840   19.6007
  284   730.7884   19.6168
  285   731.0931   19.6330
  286   731.3979   19.6490
  287   731.7031   19.6650
  288   732.0085   19.6810
  289   732.3141   19.6972
  290   732.6200   19.7134
  291   732.9262   19.7293
  292   733.2326   19.7454
  293   733.5392   19.7617
  294   733.8461   19.7778
  295   734.1533   19.7938
  296   734.4607   19.8101
  297   734.7684   19.8264
  298   735.0763   19.8425
  299   735.3845   19.8585
  300   735.6930   19.8748
  301   736.0017   19.8913
  302   736.3106   19.9074
  303   736.6198   19.9235
  304   736.9293   19.9399
  305   737.2390   19.9564
  306   737.5490   19.9725
  307   737.8593   19.9887
  308   738.1698   20.0052
  309   738.4805   20.0216
  310   738.7916   20.0379
  311   739.1028   20.0541
  312   739.4144   20.0707
  313   739.7262   20.0871
  314   740.0382   20.1035
  315   740.3505   20.1198
  316   740.6631   20.1363
  317   740.9760   20.1530
  318   741.2891   20.1694
  319   741.6024   20.1857
  320   741.9161   20.2023
  321   742.2300   20.2191
  322   742.5441   20.2355
  323   742.8585   20.2519
  324   743.1732   20.2686
  325   743.4881   20.2853
  326   743.8033   20.3018
  327   744.1188   20.3184
  328   744.4345   20.3352
  329   744.7505   20.3519
  330   745.0668   20.3685
  331   745.3833   20.3852
  332   745.7001   20.4020
  333   746.0171   20.4188
  334   746.3344   20.4354
  335   746.6520   20.4523
  336   746.9699   20.4692
  337   747.2880   20.4859
  338   747.6064   20.5027
  339   747.9250   20.5197
  340   748.2439   20.5366
  341   748.5631   20.5534
  342   748.8826   20.5703
  343   749.2023   20.5874
  344   749.5223   20.6043
  345   749.8425   20.6212
  346   750.1631   20.6383
  347   750.4839   20.6555
  348   750.8049   20.6724
  349   751.1263   20.6894
  350   751.4479   20.7066
  351   751.7698   20.7238
  352   752.0919   20.7408
  353   752.4143   20.7580
  354   752.7370   20.7753
  355   753.0600   20.7925
  356   753.3832   20.8097
  357   753.7067   20.8269
  358   754.0305   20.8443
  359   754.3546   20.8617
  360   754.6789   20.8788
  361   755.0035   20.8963
  362   755.3284   20.9138
  363   755.6535   20.9311
  364   755.9789   20.9485
  365   756.3046   20.9660
  366   756.6306   20.9837
  367   756.9568   21.0009
  368   757.2834   21.0185
  369   757.6102   21.0362
  370   757.9372   21.0537
  371   758.2646   21.0712
  372   758.5922   21.0889
  373   758.9201   21.1067
  374   759.2483   21.1243
  375   759.5768   21.1420
  376   759.9055   21.1599
  377   760.2345   21.1777
  378   760.5638   21.1954
  379   760.8934   21.2133
  380   761.2233   21.2312
  381   761.5534   21.2490
  382   761.8838   21.2669
  383   762.2145   21.2849
  384   762.5455   21.3029
  385   762.8767   21.3208
  386   763.2083   21.3390
  387   763.5401   21.3570
  388   763.8722   21.3751
  389   764.2046   21.3933
  390   764.5372   21.4114
  391   764.8702   21.4296
  392   765.2034   21.4479
  393   765.5369   21.4662
  394   765.8707   21.4844
  395   766.2048   21.5028
  396   766.5392   21.5212
  397   766.8738   21.5395
  398   767.2087   21.5580
  399   767.5440   21.5765
  400   767.8795   21.5949
  401   768.2153   21.6134
  402   768.5513   21.6321
  403   768.8877   21.6506
  404   769.2244   21.6692
  405   769.5613   21.6880
  406   769.8985   21.7067
  407   770.2360   21.7253
  408   770.5738   21.7440
  409   770.9119   21.7632
  410   771.2503   21.7818
  411   771.5890   21.8004
  412   771.9279   21.8196
  413   772.2672   21.8387
  414   772.6067   21.8573
  415   772.9465   21.8763
  416   773.2867   21.8958
  417   773.6271   21.9148
  418   773.9678   21.9334
  419   774.3088   21.9528
  420   774.6500   21.9724
  421   774.9916   21.9913
  422   775.3335   22.0103
  423   775.6756   22.0301
  424   776.0181   22.0494
  425   776.3609   22.0683
  426   776.7039   22.0878
  427   777.0472   22.1078
  428   777.3909   22.1266
  429   777.7348   22.1461
  430   778.0790   22.1660
  431   778.4235   22.1856
  432   778.7683   22.2048
  433   779.1134   22.2245
  434   779.4588   22.2446
  435   779.8045   22.2639
  436   780.1505   22.2835
  437   780.4968   22.3038
  438   780.8434   22.3236
  439   781.1903   22.3429
  440   781.5375   22.3630
  441   781.8850   22.3832
  442   789.2663   22.8097
  443   789.6200   22.8303
  444   789.9741   22.8509
  445   790.3284   22.8717
  446   790.6831   22.8924
  447   791.0381   22.9130
  448   791.3934   22.9340
  449   791.7490   22.9547
  450   792.1048   22.9755
  451   792.4610   22.9965
  452   792.8176   23.0175
  453   793.1744   23.0383
  454   793.5315   23.0594
  455   793.8889   23.0805
  456   794.2467   23.1014
  457   794.6047   23.1225
  458   794.9631   23.1438
  459   795.3217   23.1648
  460   795.6807   23.1860
  461   796.0400   23.2072
  462   796.3996   23.2284
  463   796.7595   23.2498
  464   797.1197   23.2710
  465   797.4802   23.2925
  466   797.8411   23.3139
  467   798.2022   23.3351
  468   798.5637   23.3566
  469   798.9255   23.3783
  470   799.2876   23.3996
  471   799.6500   23.4210
  472   800.0127   23.4429
  473   800.3758   23.4644
  474   800.7391   23.4858
  475   801.1028   23.5078
  476   801.4667   23.5295
  477   801.8310   23.5509
  478   802.1956   23.5728
  479   802.5606   23.5949
  480   802.9258   23.6164
  481   803.2914   23.6382
  482   803.6573   23.6606
  483   804.0235   23.6822
  484   804.3900   23.7039
  485   804.7568   23.7262
  486   805.1240   23.7484
  487   805.4915   23.7699
  488   805.8592   23.7921
  489   806.2274   23.8147
  490   806.5958   23.8365
  491   806.9646   23.8583
  492   807.3336   23.8811
  493   807.7030   23.9034
  494   808.0728   23.9251
  495   808.4428   23.9477
  496   808.8132   23.9703
  497   809.1839   23.9921
  498   809.5549   24.0146
  499   809.9262   24.0375
  500   810.2979   24.0596
  501   810.6699   24.0818
  502   811.0422   24.1048
  503   811.4148   24.1275
  504   811.7878   24.1494
  505   812.1611   24.1723
  506   812.5347   24.1953
  507   812.9086   24.2174
  508   813.2829   24.2401
  509   813.6575   24.2634
  510   814.0324   24.2857
  511   814.4076   24.3083
  512   814.7832   24.3316
  513   815.1591   24.3544
  514   815.5354   24.3769
  515   815.9119   24.4000
  516   816.2888   24.4233
  517   816.6661   24.4457
  518   817.0436   24.4688
  519   817.4215   24.4924
  520   817.7998   24.5149
  521   818.1783   24.5377
  522   818.5572   24.5616
  523   818.9364   24.5843
  524   819.3160   24.6072
  525   819.6959   24.6310
  526   820.0761   24.6542
  527   820.4566   24.6769
  528   820.8375   24.7005
  529   821.2188   24.7241
  530   821.6003   24.7468
  531   821.9822   24.7705
  532   822.3645   24.7942
  533   822.7470   24.8171
  534   823.1299   24.8406
  535   823.5132   24.8646
  536   823.8968   24.8877
  537   824.2807   24.9109
  538   824.6649   24.9352
  539   825.0495   24.9588
  540   825.4345   24.9818
  541   825.8198   25.0058
  542   826.2054   25.0295
  543   826.5913   25.0528
  544   826.9776   25.0770
  545   827.3643   25.1008
  546   827.7513   25.1242
  547   828.1386   25.1483
  548   828.5263   25.1722
  549   828.9143   25.1958
  550   829.3026   25.2198
  551   829.6913   25.2438
  552   830.0804   25.2676
  553   830.4698   25.2916
  554   830.8595   25.3158
  555   831.2496   25.3397
  556   831.6400   25.3636
  557   832.0308   25.3880
  558   832.4219   25.4119
  559   832.8134   25.4360
  560   833.2052   25.4603
  561   833.5973   25.4844
  562   833.9899   25.5086
  563   834.3827   25.5329
  564   834.7759   25.5572
  565   835.1695   25.5814
  566   835.5634   25.6057
  567   835.9576   25.6302
  568   836.3522   25.6545
  569   836.7472   25.6788
  570   837.1425   25.7034
  571   837.5382   25.7278
  572   837.9342   25.7522
  573   838.3306   25.7769
  574   838.7273   25.8014
  575   839.1243   25.8257
  576   839.5218   25.8506
  577   839.9196   25.8752
  578   840.3177   25.8995
  579   840.7162   25.9246
  580   841.1150   25.9492
  581   841.5142   25.9736
  582   841.9138   25.9988
  583   842.3137   26.0235
  584   842.7140   26.0480
  585   843.1146   26.0732
  586   843.5156   26.0980
  587   843.9170   26.1226
  588   844.3187   26.1479
  589   844.7208   26.1728
  590   845.1232   26.1976
  591   845.5260   26.2229
  592   845.9291   26.2479
  593   846.3326   26.2727
  594   846.7365   26.2980
  595   847.1407   26.3233
  596   847.5454   26.3482
  597   847.9503   26.3737
  598   848.3556   26.3988
  599   848.7613   26.4239
  600   849.1674   26.4494
  601   849.5738   26.4747
  602   849.9806   26.4999
  603   850.3877   26.5256
  604   850.7952   26.5509
  605   851.2031   26.5761
  606   851.6114   26.6020
  607   852.0200   26.6274
  608   852.4290   26.6527
  609   851.4931   26.5938
  610   851.7998   26.6134
  611   852.1067   26.6330
  612   852.4138   26.6515
  613   852.7212   26.6706
  614   853.0289   26.6906
  615   853.3367   26.7097
  616   853.6448   26.7283
  617   853.9532   26.7478
  618   854.2618   26.7677
  619   854.5706   26.7868
  620   854.8797   26.8055
  621   855.1890   26.8253
  622   855.4986   26.8451
  623   855.8084   26.8642
  624   856.1184   26.8831
  625   856.4287   26.9031
  626   856.7393   26.9229
  627   857.0501   26.9419
  628   857.3611   26.9613
  629   857.6723   26.9811
  630   857.9839   27.0008
  631   858.2956   27.0200
  632   858.6076   27.0396
  633   858.9199   27.0597
  634   859.2324   27.0791
  635   859.5451   27.0983
  636   859.8581   27.1183
  637   860.1713   27.1383
  638   860.4848   27.1578
  639   860.7985   27.1774
  640   861.1125   27.1975
  641   861.4267   27.2174
  642   861.7412   27.2368
  643   862.0559   27.2567
  644   862.3709   27.2769
  645   862.6861   27.2966
  646   863.0015   27.3163
  647   863.3173   27.3363
  648   863.6332   27.3566
  649   863.9494   27.3763
  650   864.2659   27.3961
  651   864.5826   27.4164
  652   864.8995   27.4366
  653   865.2168   27.4563
  654   865.5342   27.4764
  655   865.8519   27.4968
  656   866.1699   27.5169
  657   866.4881   27.5367
  658   866.8066   27.5571
  659   867.1253   27.5775
  660   867.4442   27.5975
  661   867.7635   27.6176
  662   868.0829   27.6383
  663   868.4027   27.6586
  664   868.7226   27.6786
  665   869.0429   27.6989
  666   869.3634   27.7196
  667   869.6841   27.7399
  668   870.0051   27.7600
  669   870.3263   27.7808
  670   870.6478   27.8014
  671   870.9696   27.8215
  672   871.2916   27.8420
  673   871.6139   27.8627
  674   871.9364   27.8834
  675   872.2592   27.9036
  676   872.5822   27.9244
  677   872.9055   27.9453
  678   873.2291   27.9658
  679   873.5529   27.9862
  680   873.8769   28.0072
  681   874.2012   28.0276
  682   874.5258   28.0488
  683   874.8507   28.0692
  684   875.1758   28.0904
  685   875.5011   28.1112
  686   875.8267   28.1317
  687   876.1526   28.1527
  688   876.4787   28.1739
  689   876.8051   28.1947
  690   877.1318   28.2154
  691   877.4587   28.2366
  692   877.7858   28.2578
  693   878.1133   28.2786
  694   878.4410   28.2995
  695   878.7689   28.3209
  696   879.0971   28.3422
  697   879.4256   28.3630
  698   879.7543   28.3841
  699   880.0833   28.4056
  700   880.4126   28.4268
  701   880.7421   28.4476
  702   881.0719   28.4692
  703   881.4019   28.4908
  704   881.7323   28.5118
  705   882.0628   28.5329
  706   882.3937   28.5547
  707   882.7248   28.5762
  708   883.0561   28.5973
  709   883.3878   28.6187
  710   883.7197   28.6407
  711   884.0518   28.6619
  712   884.3843   28.6831
  713   884.7170   28.7051
  714   885.0499   28.7271
  715   885.3832   28.7480
  716   885.7167   28.7696
  717   886.0504   28.7921
  718   886.3845   28.8135
  719   886.7188   28.8346
  720   887.0533   28.8570
  721   887.3882   28.8791
  722   887.7233   28.9002
  723   888.0586   28.9219
  724   888.3943   28.9447
  725   888.7302   28.9663
  726   889.0664   28.9876
  727   889.4028   29.0101
  728   889.7395   29.0326
  729   890.0765   29.0537
  730   890.4138   29.0759
  731   890.7513   29.0988
  732   891.0891   29.1206
  733   891.4272   29.1419
  734   891.7655   29.1647
  735   892.1042   29.1875
  736   892.4430   29.2087
  737   892.7822   29.2310
  738   893.1216   29.2541
  739   893.4614   29.2761
  740   893.8013   29.2978
  741   894.1416   29.3206
  742   894.4821   29.3435
  743   894.8229   29.3653
  744   895.1640   29.3879
  745   895.5053   29.4111
  746   895.8470   29.4332
  747   896.1889   29.4551
  748   896.5311   29.4784
  749   896.8735   29.5013
  750   897.2162   29.5230
  751   897.5592   29.5462
  752   897.9025   29.5696
  753   898.2461   29.5916
  754   898.5899   29.6141
  755   898.9340   29.6376
  756   899.2784   29.6606
  757   899.6231   29.6826
  758   899.9681   29.7060
  759   900.3133   29.7294
  760   900.6588   29.7518
  761   901.0046   29.7744
  762   901.3507   29.7984
  763   901.6970   29.8211
  764   902.0436   29.8437
  765   902.3905   29.8674
  766   902.7377   29.8909
  767   903.0852   29.9135
  768   903.4330   29.9367
  769   903.7810   29.9608
  770   911.2390   30.4626
  771   911.5938   30.4872
  772   911.9489   30.5107
  773   912.3043   30.5347
  774   912.6599   30.5588
  775   913.0159   30.5830
  776   913.3721   30.6075
  777   913.7286   30.6316
  778   914.0854   30.6558
  779   914.4426   30.6804
  780   914.7999   30.7048
  781   915.1576   30.7290
  782   915.5156   30.7535
  783   915.8739   30.7781
  784   916.2324   30.8025
  785   916.5913   30.8271
  786   916.9504   30.8518
  787   917.3098   30.8763
  788   917.6695   30.9008
  789   918.0295   30.9258
  790   918.3898   30.9505
  791   918.7504   30.9750
  792   919.1113   30.9998
  793   919.4725   31.0249
  794   919.8340   31.0498
  795   920.1957   31.0744
  796   920.5578   31.0995
  797   920.9202   31.1247
  798   921.2828   31.1493
  799   921.6458   31.1743
  800   922.0090   31.2000
  801   922.3725   31.2245
  802   922.7364   31.2496
  803   923.1005   31.2753
  804   923.4649   31.3002
  805   923.8296   31.3253
  806   924.1946   31.3511
  807   924.5599   31.3763
  808   924.9256   31.4014
  809   925.2915   31.4271
  810   925.6577   31.4524
  811   926.0242   31.4777
  812   926.3910   31.5034
  813   926.7581   31.5289
  814   927.1255   31.5542
  815   927.4932   31.5800
  816   927.8612   31.6058
  817   928.2295   31.6312
  818   928.5981   31.6569
  819   928.9670   31.6830
  820   929.3362   31.7084
  821   929.7058   31.7342
  822   930.0756   31.7607
  823   930.4457   31.7861
  824   930.8161   31.8118
  825   931.1868   31.8383
  826   931.5579   31.8640
  827   931.9292   31.8898
  828   932.3008   31.9164
  829   932.6727   31.9424
  830   933.0450   31.9680
  831   933.4175   31.9949
  832   933.7904   32.0209
  833   934.1635   32.0465
  834   934.5370   32.0734
  835   934.9108   32.0999
  836   935.2849   32.1255
  837   935.6592   32.1523
  838   936.0339   32.1790
  839   936.4089   32.2048
  840   936.7842   32.2316
  841   937.1598   32.2589
  842   937.5358   32.2845
  843   937.9120   32.3110
  844   938.2885   32.3386
  845   938.6654   32.3644
  846   939.0425   32.3909
  847   939.4200   32.4188
  848   939.7978   32.4449
  849   940.1759   32.4710
  850   940.5543   32.4991
  851   940.9330   32.5256
  852   941.3120   32.5516
  853   941.6913   32.5801
  854   942.0710   32.6065
  855   942.4510   32.6327
  856   942.8312   32.6608
  857   943.2118   32.6877
  858   943.5927   32.7139
  859   943.9739   32.7420
  860   944.3555   32.7694
  861   944.7373   32.7956
  862   945.1195   32.8237
  863   945.5019   32.8515
  864   945.8847   32.8773
  865   946.2678   32.9057
  866   946.6513   32.9333
  867   947.0350   32.9596
  868   947.4191   32.9877
  869   947.8034   33.0158
  870   948.1881   33.0424
  871   948.5732   33.0704
  872   948.9585   33.0987
  873   949.3441   33.1254
  874   949.7301   33.1534
  875   950.1164   33.1816
  876   950.5030   33.2085
  877   950.8899   33.2367
  878   951.2772   33.2650
  879   951.6647   33.2921
  880   952.0526   33.3203
  881   952.4408   33.3486
  882   952.8294   33.3760
  883   953.2182   33.4040
  884   953.6074   33.4328
  885   953.9969   33.4603
  886   954.3867   33.4881
  887   954.7769   33.5169
  888   955.1673   33.5448
  889   955.5581   33.5729
  890   955.9493   33.6015
  891   956.3407   33.6296
  892   956.7325   33.6578
  893   957.1246   33.6866
  894   957.5170   33.7146
  895   957.9097   33.7428
  896   958.3028   33.7721
  897   958.6962   33.8000
  898   959.0900   33.8283
  899   959.4840   33.8576
  900   959.8784   33.8858
  901   960.2731   33.9142
  902   960.6682   33.9436
  903   961.0635   33.9722
  904   961.4592   34.0003
  905   961.8553   34.0298
  906   962.2516   34.0585
  907   962.6483   34.0866
  908   963.0453   34.1165
  909   963.4427   34.1452
  910   963.8404   34.1736
  911   964.2384   34.2033
  912   964.6368   34.2321
  913   965.0354   34.2608
  914   965.4345   34.2904
  915   965.8338   34.3192
  916   966.2335   34.3482
  917   966.6335   34.3780
  918   967.0338   34.4070
  919   967.4345   34.4358
  920   967.8356   34.4660
  921   968.2369   34.4949
  922   968.6386   34.5241
  923   969.0406   34.5540
  924   969.4430   34.5828
  925   969.8457   34.6127
  926   970.2488   34.6423
  927   970.6521   34.6713
  928   971.0559   34.7017
  929   971.4599   34.7307
  930   971.8643   34.7606
  931   972.2691   34.7906
  932   972.6741   34.8199
  933   973.0795   34.8497
  934   973.4853   34.8802
  935   973.8914   34.9093
  936   974.2978   34.9395
  937   973.8223   34.9043
  938   974.2287   34.9343
  939   974.6355   34.9642
  940   975.0426   34.9941
  941   975.4501   35.0241
  942   975.8579   35.0541
  943   976.2660   35.0842
  944   976.6745   35.1142
  945   977.0833   35.1443
  946   977.4924   35.1745
  947   977.9019   35.2047
  948   978.3117   35.2347
  949   978.7219   35.2652
  950   979.1324   35.2956
  951   979.5433   35.3255
  952   979.9545   35.3563
  953   980.3660   35.3865
  954   980.7779   35.4168
  955   981.1901   35.4476
  956   981.6027   35.4777
  957   982.0156   35.5083
  958   982.4289   35.5392
  959   982.8425   35.5695
  960   983.2565   35.6000
  961   983.6707   35.6310
  962   984.0854   35.6614
  963   984.5004   35.6923
  964   984.9157   35.7231
  965   985.3314   35.7537
  966   985.7474   35.7845
  967   986.1638   35.8158
  968   986.5805   35.8462
  969   986.9976   35.8773
  970   987.4150   35.9083
  971   987.8328   35.9391
  972   988.2509   35.9705
  973   988.6694   36.0014
  974   989.0882   36.0323
  975   989.5074   36.0639
  976   989.9269   36.0947
  977   990.3468   36.1258
  978   990.7670   36.1577
  979   991.1876   36.1884
  980   991.6085   36.2198
  981   992.0298   36.2514
  982   992.4515   36.2823
  983   992.8734   36.3141
  984   993.2958   36.3456
  985   993.7185   36.3764
  986   994.1415   36.4087
  987   994.5650   36.4399
  988   994.9887   36.4711
  989   995.4129   36.5034
  990   995.8373   36.5346
  991   996.2622   36.5661
  992   996.6874   36.5985
  993   997.1129   36.6296
  994   997.5389   36.6615
  995   997.9651   36.6937
  996   998.3918   36.7248
  997   998.8187   36.7572
  998   999.2461   36.7892
  999   999.6738   36.8205
 1000  1000.1019   36.8532
 1001  1000.5303   36.8849
 1002  1000.9591   36.9166
 1003  1001.3882   36.9494
 1004  1001.8178   36.9810
 1005  1002.2476   37.0130
 1006  1002.6779   37.0457
 1007  1003.1085   37.0774
 1008  1003.5395   37.1099
 1009  1003.9708   37.1422
 1010  1004.4025   37.1742
 1011  1004.8346   37.2068
 1012  1005.2670   37.2392
 1013  1005.6998   37.2712
 1014  1006.1329   37.3041
 1015  1006.5665   37.3364
 1016  1007.0003   37.3688
 1017  1007.4346   37.4016
 1018  1007.8692   37.4339
 1019  1008.3042   37.4665
 1020  1008.7396   37.4993
 1021  1009.1753   37.5318
 1022  1009.6114   37.5645
