%! This file is the old "azfwocm_jn98.txt" file with some gas info
%! added (2 August 2000) to the header before the (unchanged) main
%! data block.
%!
%! alpha:  3.1512297119580056E-02  6.6728680529010737E-02
%! 3.9241615312540203E-02  2.9047926354623648E-02  4.1561877744284582E-02
%!
%! New data header line (added 2 August 2000):
%!    NGAS    IDGAS1 IDGAS2 IDGAS3 ... IDGAS<NGAS>
%!
%! layer fixed       water         ozone    carbon monoxide  methane
%!---  -----------  -----------  -----------  -----------  -----------
% 5    2  1  3  5  6
  69  1.70816E-08  2.25476E-10  8.88012E-12  4.07216E-11  9.64532E-12
  70  1.76986E-08  2.41192E-10  9.26091E-12  4.21087E-11  1.00793E-11
  71  1.83353E-08  2.57993E-10  9.65695E-12  4.35367E-11  1.05317E-11
  72  1.89925E-08  2.75953E-10  1.00688E-11  4.50069E-11  1.10033E-11
  73  1.96706E-08  2.95153E-10  1.04972E-11  4.65203E-11  1.14949E-11
  74  2.03705E-08  3.15677E-10  1.09427E-11  4.80784E-11  1.20074E-11
  75  2.10928E-08  3.37618E-10  1.14061E-11  4.96824E-11  1.25416E-11
  76  2.18382E-08  3.61073E-10  1.18879E-11  5.13336E-11  1.30985E-11
  77  2.26075E-08  3.86146E-10  1.23891E-11  5.30335E-11  1.36791E-11
  78  2.34014E-08  4.12950E-10  1.29103E-11  5.47836E-11  1.42842E-11
  79  2.42207E-08  4.41603E-10  1.34524E-11  5.65852E-11  1.49151E-11
  80  2.50662E-08  4.72233E-10  1.40162E-11  5.84399E-11  1.55727E-11
  81  2.59388E-08  5.04977E-10  1.46026E-11  6.03493E-11  1.62582E-11
  82  2.68394E-08  5.39980E-10  1.52124E-11  6.23149E-11  1.69729E-11
  83  2.77688E-08  5.77399E-10  1.58466E-11  6.43385E-11  1.77178E-11
  84  2.87279E-08  6.17400E-10  1.65062E-11  6.64217E-11  1.84944E-11
  85  2.97177E-08  6.60161E-10  1.71922E-11  6.85664E-11  1.93039E-11
  86  3.07393E-08  7.05873E-10  1.79057E-11  7.07742E-11  2.01478E-11
  87  3.17935E-08  7.54740E-10  1.86477E-11  7.30471E-11  2.10275E-11
  88  3.28815E-08  8.06978E-10  1.94194E-11  7.53871E-11  2.19445E-11
  89  3.40043E-08  8.62821E-10  2.02220E-11  7.77959E-11  2.29004E-11
  90  3.51630E-08  9.22518E-10  2.10567E-11  8.02758E-11  2.38969E-11
  91  3.63589E-08  9.86334E-10  2.19248E-11  8.28288E-11  2.49357E-11
  92  3.75930E-08  1.05455E-09  2.28277E-11  8.54570E-11  2.60186E-11
  93  3.88667E-08  1.12748E-09  2.37667E-11  8.81627E-11  2.71474E-11
  94  4.01811E-08  1.20544E-09  2.47433E-11  9.09481E-11  2.83241E-11
  95  4.15376E-08  1.28878E-09  2.57589E-11  9.38156E-11  2.95508E-11
  96  4.29375E-08  1.37787E-09  2.68152E-11  9.67676E-11  3.08295E-11
  97  4.43823E-08  1.47311E-09  2.79138E-11  9.98067E-11  3.21625E-11
  98  4.58733E-08  1.57492E-09  2.90564E-11  1.02935E-10  3.35521E-11
  99  4.74120E-08  1.68375E-09  3.02447E-11  1.06156E-10  3.50006E-11
 100  4.90000E-08  1.80010E-09  3.14805E-11  1.09472E-10  3.65106E-11
